rank,feature,gain_importance,cumulative_pct,cohens_d,abs_d,effect_size
2190,F3600_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2191,F3599_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2192,F3598_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2193,F3597_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2194,F3596_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2195,F3595_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2196,F3594_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2197,F3602_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2198,F3551_missing,0,100.0,0.11678813849021351,0.11678813849021351,negligible
2199,F3550_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2200,F3549_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2201,F3548_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2202,F3547_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2203,F3546_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2204,F3545_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2205,F3576_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2206,F3543_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2207,F3542_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2208,F3541_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2209,F3540_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2210,F3539_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2211,F3538_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2212,F3537_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2213,F3536_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2214,F3544_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2215,F3575_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2216,F3574_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2217,F3573_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2218,F3572_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2219,F3571_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2220,F3570_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2221,F3569_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2222,F3568_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2223,F3552_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2224,F3566_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2225,F3565_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2226,F3564_missing,0,100.0,0.852990571789651,0.852990571789651,large
2227,F3563_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2228,F3562_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2229,F3555_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2230,F3554_missing,0,100.0,0.11678813849021351,0.11678813849021351,negligible
2231,F3553_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2232,F3567_missing,0,100.0,0.852990571789651,0.852990571789651,large
2233,F3663_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2234,F3662_missing,0,100.0,0.07470005109108856,0.07470005109108856,negligible
2235,F3661_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2236,F3660_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2237,F3659_missing,0,100.0,0.07470005109108856,0.07470005109108856,negligible
2238,F3658_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2239,F3657_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2240,F3610_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2241,F3655_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2242,F3654_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2243,F3653_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2244,F3652_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2245,F3651_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2246,F3650_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2247,F3649_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2248,F3648_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2249,F3656_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2250,F3687_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2251,F3686_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2252,F3685_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2253,F3684_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2254,F3683_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
